order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
618.0,407.0,210.0,470.0,210.0,470.0,2016-02-01 08:00:00,17.5,0.2864,12.4664,0.4545,16.5455,0.1818,order1
583.0,195.0,173.0,203.0,556.0,288.0,2016-02-01 08:00:00,14.5227,0.4682,21.6364,2.1991,14.4545,0.1818,order2
225.0,6.0,385.0,478.0,599.0,346.0,2016-02-01 08:00:00,21.4318,2.2818,14.0227,0.3636,19.5,0.9182,order1
411.0,545.0,744.0,605.0,395.0,408.0,2016-02-01 08:00:00,13.8182,0.1818,7.8182,0.4545,11.4545,0.4545,order1
218.0,437.0,599.0,346.0,225.0,6.0,2016-02-01 08:00:00,15.7955,0.4727,15.3182,0.4682,18.5682,2.0945,order3
395.0,408.0,225.0,6.0,688.0,206.0,2016-02-01 08:00:00,14.1482,0.5455,19.6818,1.6636,14.8636,0.1818,order2
728.0,277.0,744.0,605.0,199.0,510.0,2016-02-01 08:00:00,15.9318,1.1,8.1591,0.8182,13.0909,0.3636,order1
744.0,605.0,686.0,500.0,688.0,206.0,2016-02-01 08:00:00,10.3409,0.5455,7.6591,0.4545,15.0227,0.9182,order3
64.0,231.0,744.0,605.0,748.0,242.0,2016-02-01 08:00:00,7.6591,0.8636,7.5,1.0,17.6818,0.4682,order3
599.0,346.0,294.0,113.0,413.0,636.0,2016-02-01 08:00:00,20.0682,0.9182,24.6136,2.9355,18.5,1.2773,order2
395.0,408.0,210.0,470.0,199.0,510.0,2016-02-01 08:00:00,14.0909,0.7273,12.0682,0.2727,17.5,0.5455,order3
411.0,545.0,604.0,668.0,411.0,545.0,2016-02-01 08:00:00,12.3182,0.3818,39.8182,6.2945,14.1482,0.2727,order2
170.0,351.0,413.0,636.0,294.0,113.0,2016-02-01 08:00:00,10.1364,1.0455,15.1591,1.1136,20.7955,2.39,order3
376.0,92.0,18.0,610.0,167.0,754.0,2016-02-01 08:00:00,17.4091,1.3864,14.0455,0.5455,11.0682,0.1818,order1
605.0,347.0,95.0,781.0,395.0,408.0,2016-02-01 08:00:00,18.5227,0.2864,17.9436,0.3636,14.3864,0.5455,order1
109.0,708.0,599.0,346.0,767.0,733.0,2016-02-01 08:00:00,16.33,0.5455,19.25,0.0,7.8636,0.7273,order2
